INFO   | jvm 1    | main    | 2016/10/12 10:48:10.675 | INFO  [localhost-startStop-1] [hybrisserver]              SA - jdbc:hsqldb:file:C:\hybrisootb\6\y0.0.1\hybris\data/hsqldb/mydb;shutdown=true;hsqldb.cache_rows=100000;hsqldb.cache_size=20000;hsqldb.write_delay_millis=1000;hsqldb.inc_backup=true;hsqldb.defrag_limit=2;hsqldb.nio_data_file=false
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.676 | INFO  [localhost-startStop-1] [hybrisserver] Platform:    6.0.0.1
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.678 | INFO  [localhost-startStop-1] [hybrisserver] Java:        Oracle Corporation
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.679 | INFO  [localhost-startStop-1] [hybrisserver]              Java(TM) SE Runtime Environment, 1.8.0_45-b15
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.680 | INFO  [localhost-startStop-1] [hybrisserver]              C:\Program Files\Java\jdk1.8.0_45\jre
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.680 | INFO  [localhost-startStop-1] [hybrisserver] VM Locale:   language=de,country=US,region=null
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.681 | INFO  [localhost-startStop-1] [hybrisserver] Cache:       RegionCache is not yet initialized. [de.hybris.platform.cache.impl.RegionCacheAdapter]
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.682 | INFO  [localhost-startStop-1] [hybrisserver] Server type: tomcat
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.684 | INFO  [localhost-startStop-1] [hybrisserver] 
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.684 | INFO  [localhost-startStop-1] [hybrisserver] *****************************************************************
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.685 | INFO  [localhost-startStop-1] [hybrisserver] 
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.686 | INFO  [localhost-startStop-1] [hybrisserver] ---------------------------------------------------------------
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.687 | INFO  [localhost-startStop-1] [hybrisserver] --- Extensions in dependency order ( options: 
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.688 | INFO  [localhost-startStop-1] [hybrisserver] ---  @deprecated: is deprecated, p: platform extension,*: auto-required 
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.689 | INFO  [localhost-startStop-1] [hybrisserver] ---  ?: lazy-loaded, i: got items.xml, b: got beans.xml, c: got core module 
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.690 | INFO  [localhost-startStop-1] [hybrisserver] ---  w: got web module, h: got HMC module ) 
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.691 | INFO  [localhost-startStop-1] [hybrisserver] ---------------------------------------------------------------
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.691 | INFO  [localhost-startStop-1] [hybrisserver] core 6.0.0.1 [p*cib]
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.692 | INFO  [localhost-startStop-1] [hybrisserver] testweb 6.0.0.1 [p*w]
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.696 | INFO  [localhost-startStop-1] [hybrisserver] scripting 6.0.0.1 [p*ci]
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.696 | INFO  [localhost-startStop-1] [hybrisserver] paymentstandard 6.0.0.1 [p*ci]
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.697 | INFO  [localhost-startStop-1] [hybrisserver] mediaweb 6.0.0.1 [p*cw]
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.698 | INFO  [localhost-startStop-1] [hybrisserver] maintenanceweb 6.0.0.1 [p*w]
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.698 | INFO  [localhost-startStop-1] [hybrisserver] deliveryzone 6.0.0.1 [p*ci]
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.699 | INFO  [localhost-startStop-1] [hybrisserver] commons 6.0.0.1 [p*ci]
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.702 | INFO  [localhost-startStop-1] [hybrisserver] processing->(scripting,commons) 6.0.0.1 [p*ci]
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.703 | INFO  [localhost-startStop-1] [hybrisserver] impex->processing 6.0.0.1 [p*ci]
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.704 | INFO  [localhost-startStop-1] [hybrisserver] validation->impex 6.0.0.1 [p*ci]
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.704 | INFO  [localhost-startStop-1] [hybrisserver] catalog->(validation,commons) 6.0.0.1 [p*cib]
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.705 | INFO  [localhost-startStop-1] [hybrisserver] europe1->(impex,catalog) 6.0.0.1 [p*ci]
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.706 | INFO  [localhost-startStop-1] [hybrisserver] platformservices->(paymentstandard,impex,deliveryzone,europe1,processing) 6.0.0.1 [p*cb]
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.709 | INFO  [localhost-startStop-1] [hybrisserver] workflow->(catalog,platformservices,processing,commons) 6.0.0.1 [p*ci]
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.711 | INFO  [localhost-startStop-1] [hybrisserver] hac->(impex,catalog,processing,platformservices) 6.0.0.1 [p*cw]
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.713 | INFO  [localhost-startStop-1] [hybrisserver] comments->(workflow,impex,catalog,processing) 6.0.0.1 [p*ci]
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.715 | INFO  [localhost-startStop-1] [hybrisserver] advancedsavedquery->(impex,catalog,processing) 6.0.0.1 [p*ci]
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.715 | INFO  [localhost-startStop-1] [hybrisserver] embeddedserver <-?-tomcatembeddedserver 6.0.0.1 [?cibw] path:C:\hybrisootb\6\y0.0.1\hybris\bin\ext-platform-optional\embeddedserver
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.717 | INFO  [localhost-startStop-1] [hybrisserver] ldap->(impex,catalog,processing) <-?-platformhmc 6.0.0.1 [?ci] path:C:\hybrisootb\6\y0.0.1\hybris\bin\ext-platform-optional\ldap
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.718 | INFO  [localhost-startStop-1] [hybrisserver] tomcatembeddedserver->embeddedserver <-?-webservicescommons 6.0.0.1 [?cibw] path:C:\hybrisootb\6\y0.0.1\hybris\bin\ext-platform-optional\tomcatembeddedserver
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.719 | INFO  [localhost-startStop-1] [hybrisserver] virtualjdbc->catalog <-?-reportcockpit 6.0.0.1 [?cw] path:C:\hybrisootb\6\y0.0.1\hybris\bin\ext-platform-optional\virtualjdbc
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.719 | INFO  [localhost-startStop-1] [hybrisserver] springintegrationlibs <-?-acceleratorservices 6.0.0.1 [?] path:C:\hybrisootb\6\y0.0.1\hybris\bin\ext-platform-optional\springintegrationlibs
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.721 | INFO  [localhost-startStop-1] [hybrisserver] groovynature <-?-oauthauthorizationserver 6.0.0.1 [?cibw] path:C:\hybrisootb\6\y0.0.1\hybris\bin\ext-platform-optional\groovynature
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.722 | INFO  [localhost-startStop-1] [hybrisserver] hmc->scripting <-?-(platformhmc,customerreview,voucher,promotions,solrfacetsearchhmc,productcockpit,basecommerce,payment,cms2,commerceservices,btg,cmscockpit,b2bcommerce,lucenesearchhmc,commercesearchhmc,sapordermgmthmc,sapmodelhmc,sapcoreconfigurationhmc,sapproducthmc,sappricinghmc,b2bapprovalprocess,ycommercewebserviceshmc,ticketsystemhmc,acceleratorservices,b2bacceleratorservices,acceleratorcms,sapcreditcheckhmc,secureportaladdon,yacceleratorcore) 6.0.0.1 [?ciw] path:C:\hybrisootb\6\y0.0.1\hybris\bin\ext-platform-optional\hmc
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.723 | INFO  [localhost-startStop-1] [hybrisserver] platformhmc->(ldap,hmc) <-?-commerceservices 6.0.0.1 [?cibh] path:C:\hybrisootb\6\y0.0.1\hybris\bin\ext-platform-optional\platformhmc
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.724 | INFO  [localhost-startStop-1] [hybrisserver] customerreview->hmc <-?-commerceservices 6.0.0.1 [?cih] path:C:\hybrisootb\6\y0.0.1\hybris\bin\ext-commerce\customerreview
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.726 | INFO  [localhost-startStop-1] [hybrisserver] voucher->hmc <-?-(promotions,voucherbackoffice) 6.0.0.1 [?cih] path:C:\hybrisootb\6\y0.0.1\hybris\bin\ext-commerce\voucher
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.727 | INFO  [localhost-startStop-1] [hybrisserver] promotions->(voucher,hmc) <-?-(commerceservices,sapmodel,promotionsbackoffice) 6.0.0.1 [?cih] path:C:\hybrisootb\6\y0.0.1\hybris\bin\ext-commerce\promotions
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.728 | INFO  [localhost-startStop-1] [hybrisserver] sapproductconfigruntimeinterface <-?-(sapordermgmtbol,sapproductconfigservices,sapordermgmtservices) 6.0.0.1 [?cib] path:C:\hybrisootb\6\y0.0.1\hybris\bin\ext-integration\sap\productconfig\sapproductconfigruntimeinterface
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.729 | INFO  [localhost-startStop-1] [hybrisserver] cockpit->(comments,workflow,impex,catalog,processing,validation) <-?-(reportcockpit,admincockpit,productcockpit,cmscockpit,cscockpit,secureportaladdon,mcc) 6.0.0.1 [?ci] path:C:\hybrisootb\6\y0.0.1\hybris\bin\ext-cockpit\cockpit
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.730 | INFO  [localhost-startStop-1] [hybrisserver] reportcockpit->(impex,virtualjdbc,cockpit) <-?-yacceleratorcockpits 6.0.0.1 [?ciw] path:C:\hybrisootb\6\y0.0.1\hybris\bin\ext-cockpit\reportcockpit
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.731 | INFO  [localhost-startStop-1] [hybrisserver] solrfacetsearch <-?-(solrfacetsearchhmc,commerceservices,commercesearch,cscockpit,solrfacetsearchbackoffice) 6.0.0.1 [?cib] path:C:\hybrisootb\6\y0.0.1\hybris\bin\ext-commerce\solrfacetsearch
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.733 | INFO  [localhost-startStop-1] [hybrisserver] admincockpit->(impex,processing,validation,cockpit) <-?-(cmscockpit,b2badmincockpit) 6.0.0.1 [?ciw] path:C:\hybrisootb\6\y0.0.1\hybris\bin\ext-cockpit\admincockpit
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.734 | INFO  [localhost-startStop-1] [hybrisserver] solrfacetsearchhmc->(solrfacetsearch,hmc) <-?-(commerceservices,commercesearchhmc) 6.0.0.1 [?cibh] path:C:\hybrisootb\6\y0.0.1\hybris\bin\ext-commerce\solrfacetsearchhmc
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.735 | INFO  [localhost-startStop-1] [hybrisserver] lucenesearch->processing <-?-(lucenesearchhmc,datahubbackoffice) 6.0.0.1 [?ci] path:C:\hybrisootb\6\y0.0.1\hybris\bin\ext-platform-optional\lucenesearch
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.736 | INFO  [localhost-startStop-1] [hybrisserver] productcockpit->(cockpit,hmc) <-?-yacceleratorcockpits 6.0.0.1 [?cwh] path:C:\hybrisootb\6\y0.0.1\hybris\bin\ext-content\productcockpit
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.737 | INFO  [localhost-startStop-1] [hybrisserver] basecommerce->hmc <-?-(payment,cms2,commerceservices,cmscockpit,sapcoreconfiguration,sapmodel,sapcustomerb2c,sappricingbol,sappricing,cscockpit,sapordermgmtservices,basecommercebackoffice) 6.0.0.1 [?cibh] path:C:\hybrisootb\6\y0.0.1\hybris\bin\ext-commerce\basecommerce
